线路一 ,#genre# 
湖北卫视,https://video.lzjtu.edu.cn/liverespath/a8e4cf2bade25844b998d7743d83331412ea841f/index.m3u8
湖南卫视,https://video.lzjtu.edu.cn/liverespath/9b1ccba5a2c611bb5d7c96243695572090cca5fd/index.m3u8
天津卫视,https://video.lzjtu.edu.cn/liverespath/41433c450cf4747cf2600adecc560bc90f344182/index.m3u8
东南卫视,https://video.lzjtu.edu.cn/liverespath/7a202b5f39c56db4ca3ca7a3dc21b073c9bc472a/index.m3u8
广东卫视,https://video.lzjtu.edu.cn/liverespath/57e80ee85ec1f4e523e1bca55f5a676abd292db8/index.m3u8
重庆卫视,https://video.lzjtu.edu.cn/liverespath/b14734af7f740eb61419248c57e25551a7d1093f/index.m3u8
浙江卫视,https://video.lzjtu.edu.cn/liverespath/f650ba03bb4883fe67a1fb7c193a00a4c0c93881/index.m3u8
四川卫视,https://video.lzjtu.edu.cn/liverespath/ca3f021632b48e6960797776657926074723d276/index.m3u8
江西卫视,https://video.lzjtu.edu.cn/liverespath/5262d7f97311b82a4a460f3b8221e4a7d394c2c0/index.m3u8
江苏卫视,https://video.lzjtu.edu.cn/liverespath/0be64515076e489456de2f33e7b58ff1b392d3b3/index.m3u8
河北卫视,https://video.lzjtu.edu.cn/liverespath/0d0303a991ca71e06290b546e34104dbe0d0c64a/index.m3u8
山东卫视,https://video.lzjtu.edu.cn/liverespath/8b205af319dcc92c60a69a96423af21b24a29ca0/index.m3u8
安徽卫视,https://video.lzjtu.edu.cn/liverespath/6e91e17de838dbf7c77f9ed8e41726bd4a1516f5/index.m3u8
辽宁卫视,https://video.lzjtu.edu.cn/liverespath/73aedb8ffd21b3b8afe4664591d4cb3a5cced827/index.m3u8
黑龙江卫视,https://video.lzjtu.edu.cn/liverespath/fe1745c7599e85d0a34fa0ad3986ef25c2ed7c6f/index.m3u8

CCTV1,http://221.2.36.34:8888/newlive/live/hls/2/live.m3u8
CCTV2,http://221.2.36.34:8888/newlive/live/hls/3/live.m3u8
CCTV3,http://221.2.36.34:8888/newlive/live/hls/4/live.m3u8
CCTV4,http://221.2.36.34:8888/newlive/live/hls/5/live.m3u8
CCTV5,http://221.2.36.34:8888/newlive/live/hls/6/live.m3u8
CCTV5+,http://221.2.36.34:8888/newlive/live/hls/7/live.m3u8
CCTV6,http://221.2.36.34:8888/newlive/live/hls/8/live.m3u8
CCTV7,http://221.2.36.34:8888/newlive/live/hls/9/live.m3u8
CCTV8,http://221.2.36.34:8888/newlive/live/hls/10/live.m3u8
CCTV9,http://221.2.36.34:8888/newlive/live/hls/11/live.m3u8
CCTV10,http://221.2.36.34:8888/newlive/live/hls/12/live.m3u8
CCTV11,http://221.2.36.34:8888/newlive/live/hls/13/live.m3u8
CCTV12,http://221.2.36.34:8888/newlive/live/hls/14/live.m3u8
CCTV13,http://221.2.36.34:8888/newlive/live/hls/15/live.m3u8
CCTV14,http://221.2.36.34:8888/newlive/live/hls/16/live.m3u8
CCTV15,http://221.2.36.34:8888/newlive/live/hls/17/live.m3u8
CCTV16,http://221.2.36.34:8888/newlive/live/hls/18/live.m3u8
CCTV17,http://221.2.36.34:8888/newlive/live/hls/19/live.m3u8
浙江卫视,http://221.2.36.34:8888/newlive/live/hls/24/live.m3u8
北京卫视,http://221.2.36.34:8888/newlive/live/hls/19/live.m3u8
东方卫视,http://221.2.36.34:8888/newlive/live/hls/20/live.m3u8
广东卫视,http://221.2.36.34:8888/newlive/live/hls/21/live.m3u8
江苏卫视,http://221.2.36.34:8888/newlive/live/hls/22/live.m3u8
湖南卫视,http://221.2.36.34:8888/newlive/live/hls/23/live.m3u8
安徽卫视,http://221.2.36.34:8888/newlive/live/hls/25/live.m3u8
广西卫视,http://221.2.36.34:8888/newlive/live/hls/26/live.m3u8
云南卫视,http://221.2.36.34:8888/newlive/live/hls/27/live.m3u8
深圳卫视,http://221.2.36.34:8888/newlive/live/hls/28/live.m3u8
贵州卫视,http://221.2.36.34:8888/newlive/live/hls/29/live.m3u8
山东卫视,http://221.2.36.34:8888/newlive/live/hls/30/live.m3u8
重庆卫视,http://221.2.36.34:8888/newlive/live/hls/31/live.m3u8
四川卫视,http://221.2.36.34:8888/newlive/live/hls/32/live.m3u8
河南卫视,http://221.2.36.34:8888/newlive/live/hls/33/live.m3u8
湖北卫视,http://221.2.36.34:8888/newlive/live/hls/34/live.m3u8
吉林卫视,http://221.2.36.34:8888/newlive/live/hls/35/live.m3u8
天津卫视,http://221.2.36.34:8888/newlive/live/hls/42/live.m3u8
辽宁卫视,http://221.2.36.34:8888/newlive/live/hls/43/live.m3u8
东南卫视,http://221.2.36.34:8888/newlive/live/hls/44/live.m3u8
黑龙江卫视,http://221.2.36.34:8888/newlive/live/hls/45/live.m3u8
河北卫视,http://221.2.36.34:8888/newlive/live/hls/46/live.m3u8
海南卫视,http://221.2.36.34:8888/newlive/live/hls/47/live.m3u8
江西卫视,http://221.2.36.34:8888/newlive/live/hls/48/live.m3u8
西藏卫视,http://221.2.36.34:8888/newlive/live/hls/37/live.m3u8
新疆卫视,http://221.2.36.34:8888/newlive/live/hls/38/live.m3u8
青海卫视,http://221.2.36.34:8888/newlive/live/hls/39/live.m3u8

CCTV1,http://223.151.51.27:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://223.151.51.27:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://223.151.51.27:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://223.151.51.27:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://223.151.51.27:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://223.151.51.27:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://223.151.51.27:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://223.151.51.27:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://223.151.51.27:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://223.151.51.27:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://223.151.51.27:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://223.151.51.27:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://223.151.51.27:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://223.151.51.27:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://223.151.51.27:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://223.151.51.27:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视，http://223.151.51.27:85/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
湖南都市，http://223.151.51.27:85/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视，http://223.151.51.27:85/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电视剧，http://223.151.51.27:85/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
国际频道，http://223.151.51.27:85/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电影，http://223.151.51.27:85/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通，http://223.151.51.27:85/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰纪实，http://223.151.51.27:85/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV1,http://183.66.196.98:9901/tsfile/live/0001_1.m3u8
CCTV2,http://183.66.196.98:9901/tsfile/live/0002_1.m3u8
CCTV3,http://183.66.196.98:9901/tsfile/live/0003_1.m3u8
CCTV4,http://183.66.196.98:9901/tsfile/live/0004_1.m3u8
CCTV5,http://183.66.196.98:9901/tsfile/live/0005_1.m3u8
CCTV6,http://183.66.196.98:9901/tsfile/live/0006_1.m3u8
CCTV7,http://183.66.196.98:9901/tsfile/live/0007_1.m3u8
CCTV8,http://183.66.196.98:9901/tsfile/live/0008_1.m3u8
CCTV9,http://183.66.196.98:9901/tsfile/live/0009_1.m3u8
CCTV10,http://183.66.196.98:9901/tsfile/live/0010_1.m3u8
CCTV11,http://183.66.196.98:9901/tsfile/live/0011_1.m3u8
CCTV12,http://183.66.196.98:9901/tsfile/live/0012_1.m3u8
CCTV13,http://183.66.196.98:9901/tsfile/live/0013_1.m3u8
CCTV14,http://183.66.196.98:9901/tsfile/live/0014_1.m3u8
CCTV15,http://183.66.196.98:9901/tsfile/live/0015_1.m3u8
东南卫视,http://183.66.196.98:9901/tsfile/live/0137_1.m3u8
云南卫视,http://183.66.196.98:9901/tsfile/live/0119_1.m3u8
内蒙古卫视,http://183.66.196.98:9901/tsfile/live/0109_1.m3u8
北京卫视,http://183.66.196.98:9901/tsfile/live/0122_1.m3u8
吉林卫视,http://183.66.196.98:9901/tsfile/live/0116_1.m3u8
四川卫视,http://183.66.196.98:9901/tsfile/live/0123_1.m3u8
天津卫视,http://183.66.196.98:9901/tsfile/live/0135_1.m3u8
宁夏卫视,http://183.66.196.98:9901/tsfile/live/0112_1.m3u8
安徽卫视,http://183.66.196.98:9901/tsfile/live/0139_1.m3u8
山东卫视,http://183.66.196.98:9901/tsfile/live/0131_1.m3u8
山西卫视,http://183.66.196.98:9901/tsfile/live/0118_1.m3u8
广东卫视,http://183.66.196.98:9901/tsfile/live/0125_1.m3u8
广西卫视,http://183.66.196.98:9901/tsfile/live/0113_1.m3u8
新疆卫视,http://183.66.196.98:9901/tsfile/live/0110_1.m3u8
江苏卫视,http://183.66.196.98:9901/tsfile/live/0127_1.m3u8
河北卫视,http://183.66.196.98:9901/tsfile/live/0121_1.m3u8
河南卫视,http://183.66.196.98:9901/tsfile/live/0139_2.m3u8
浙江卫视,http://183.66.196.98:9901/tsfile/live/0124_1.m3u8
深圳卫视,http://183.66.196.98:9901/tsfile/live/0126_1.m3u8
湖北卫视,http://183.66.196.98:9901/tsfile/live/0132_1.m3u8
湖南卫视,http://183.66.196.98:9901/tsfile/live/0128_1.m3u8
甘肃卫视,http://183.66.196.98:9901/tsfile/live/0141_1.m3u8
贵州卫视,http://183.66.196.98:9901/tsfile/live/0120_1.m3u8
辽宁卫视,http://183.66.196.98:9901/tsfile/live/0117_1.m3u8
陕西卫视,http://183.66.196.98:9901/tsfile/live/0136_1.m3u8
青海卫视,http://183.66.196.98:9901/tsfile/live/0140_1.m3u8
黑龙江卫视,http://183.66.196.98:9901/tsfile/live/0143_1.m3u8

CCTV1,http://sxz.zccatv.cn:9901/tsfile/live/0001_1.m3u8
CCTV2,http://sxz.zccatv.cn:9901/tsfile/live/0002_1.m3u8
CCTV3,http://sxz.zccatv.cn:9901/tsfile/live/0003_1.m3u8
CCTV4,http://sxz.zccatv.cn:9901/tsfile/live/0004_1.m3u8
CCTV5,http://sxz.zccatv.cn:9901/tsfile/live/0005_1.m3u8
CCTV5+,http://sxz.zccatv.cn:9901/tsfile/live/0016_1.m3u8
CCTV6,http://sxz.zccatv.cn:9901/tsfile/live/0006_1.m3u8
CCTV7,http://sxz.zccatv.cn:9901/tsfile/live/0007_1.m3u8
CCTV8,http://sxz.zccatv.cn:9901/tsfile/live/0008_1.m3u8
CCTV9,http://sxz.zccatv.cn:9901/tsfile/live/0009_1.m3u8
CCTV10,http://sxz.zccatv.cn:9901/tsfile/live/0010_1.m3u8
CCTV11,http://sxz.zccatv.cn:9901/tsfile/live/0011_1.m3u8
CCTV12,http://sxz.zccatv.cn:9901/tsfile/live/0012_1.m3u8
CCTV13,http://sxz.zccatv.cn:9901/tsfile/live/0013_1.m3u8
CCTV14,http://sxz.zccatv.cn:9901/tsfile/live/0014_1.m3u8
CCTV15,http://sxz.zccatv.cn:9901/tsfile/live/0015_1.m3u8
东南卫视,http://sxz.zccatv.cn:9901/tsfile/live/0137_1.m3u8
东方卫视,http://sxz.zccatv.cn:9901/tsfile/live/1035_1.m3u8
云南卫视,http://sxz.zccatv.cn:9901/tsfile/live/0119_1.m3u8
内蒙古卫视,http://sxz.zccatv.cn:9901/tsfile/live/0109_1.m3u8
北京卫视,http://sxz.zccatv.cn:9901/tsfile/live/0122_1.m3u8
吉林卫视,http://sxz.zccatv.cn:9901/tsfile/live/0116_1.m3u8
四川卫视,http://sxz.zccatv.cn:9901/tsfile/live/0123_1.m3u8
天津卫视,http://sxz.zccatv.cn:9901/tsfile/live/0135_1.m3u8
宁夏卫视,http://sxz.zccatv.cn:9901/tsfile/live/0112_1.m3u8
浙江卫视,http://sxz.zccatv.cn:9901/tsfile/live/0124_1.m3u8
安徽卫视,http://sxz.zccatv.cn:9901/tsfile/live/0130_1.m3u8
山东卫视,http://sxz.zccatv.cn:9901/tsfile/live/0131_1.m3u8
山西卫视,http://sxz.zccatv.cn:9901/tsfile/live/0118_1.m3u8
广东卫视,http://sxz.zccatv.cn:9901/tsfile/live/0125_1.m3u8
广西卫视,http://sxz.zccatv.cn:9901/tsfile/live/0113_1.m3u8
新疆卫视,http://sxz.zccatv.cn:9901/tsfile/live/0110_1.m3u8
江苏卫视,http://sxz.zccatv.cn:9901/tsfile/live/1004_1.m3u8
河北卫视,http://sxz.zccatv.cn:9901/tsfile/live/0117_1.m3u8
河南卫视,http://sxz.zccatv.cn:9901/tsfile/live/1003_1.m3u8
深圳卫视,http://sxz.zccatv.cn:9901/tsfile/live/0126_1.m3u8
湖北卫视,http://sxz.zccatv.cn:9901/tsfile/live/0132_1.m3u8
湖南卫视,http://sxz.zccatv.cn:9901/tsfile/live/0128_1.m3u8
甘肃卫视,http://sxz.zccatv.cn:9901/tsfile/live/0141_1.m3u8
西藏卫视,http://sxz.zccatv.cn:9901/tsfile/live/0111_1.m3u8
贵州卫视,http://sxz.zccatv.cn:9901/tsfile/live/0120_1.m3u8
辽宁卫视,http://sxz.zccatv.cn:9901/tsfile/live/0121_1.m3u8
重庆卫视,http://sxz.zccatv.cn:9901/tsfile/live/0142_1.m3u8
陕西卫视,http://sxz.zccatv.cn:9901/tsfile/live/0136_1.m3u8
青海卫视,http://sxz.zccatv.cn:9901/tsfile/live/0140_1.m3u8
黑龙江卫视,http://sxz.zccatv.cn:9901/tsfile/live/0143_1.m3u8

CCTV1,http://218.13.170.98:9901/tsfile/live/0001_1.m3u8
CCTV2,http://218.13.170.98:9901/tsfile/live/0002_1.m3u8
CCTV3,http://218.13.170.98:9901/tsfile/live/0003_1.m3u8
CCTV4,http://218.13.170.98:9901/tsfile/live/0004_1.m3u8
CCTV5,http://218.13.170.98:9901/tsfile/live/0005_1.m3u8
CCTV6,http://218.13.170.98:9901/tsfile/live/0006_1.m3u8
CCTV7,http://218.13.170.98:9901/tsfile/live/0007_1.m3u8
CCTV8,http://218.13.170.98:9901/tsfile/live/0008_1.m3u8
CCTV9,http://218.13.170.98:9901/tsfile/live/0009_1.m3u8
CCTV10,http://218.13.170.98:9901/tsfile/live/0010_1.m3u8
CCTV11,http://218.13.170.98:9901/tsfile/live/0011_1.m3u8
CCTV12,http://218.13.170.98:9901/tsfile/live/0012_1.m3u8
CCTV13,http://218.13.170.98:9901/tsfile/live/0013_1.m3u8
CCTV14,http://218.13.170.98:9901/tsfile/live/0014_1.m3u8
CCTV15,http://218.13.170.98:9901/tsfile/live/0015_1.m3u8
东南卫视,http://218.13.170.98:9901/tsfile/live/1015_1.m3u8
东方卫视,http://218.13.170.98:9901/tsfile/live/1010_1.m3u8
内蒙古卫视,http://218.13.170.98:9901/tsfile/live/0109_1.m3u8
北京卫视,http://218.13.170.98:9901/tsfile/live/1004_1.m3u8
吉林卫视,http://218.13.170.98:9901/tsfile/live/0116_1.m3u8
四川卫视,http://218.13.170.98:9901/tsfile/live/1011_1.m3u8
天津卫视,http://218.13.170.98:9901/tsfile/live/1008_1.m3u8
宁夏卫视,http://218.13.170.98:9901/tsfile/live/0112_1.m3u8
安徽卫视,http://218.13.170.98:9901/tsfile/live/1013_1.m3u8
山东卫视,http://218.13.170.98:9901/tsfile/live/1009_1.m3u8
山西卫视,http://218.13.170.98:9901/tsfile/live/0118_1.m3u8
广东卫视,http://218.13.170.98:9901/tsfile/live/0017_1.m3u8
广西卫视,http://218.13.170.98:9901/tsfile/live/1019_1.m3u8
新疆卫视,http://218.13.170.98:9901/tsfile/live/0110_1.m3u8
江苏卫视,http://218.13.170.98:9901/tsfile/live/1003_1.m3u8
河北卫视,http://218.13.170.98:9901/tsfile/live/1016_1.m3u8
深圳卫视,http://218.13.170.98:9901/tsfile/live/1005_1.m3u8
湖北卫视,http://218.13.170.98:9901/tsfile/live/1007_1.m3u8
湖南卫视,http://218.13.170.98:9901/tsfile/live/1001_1.m3u8
浙江卫视,http://218.13.170.98:9901/tsfile/live/1002_1.m3u8
甘肃卫视,http://218.13.170.98:9901/tsfile/live/0141_1.m3u8
西藏卫视,http://218.13.170.98:9901/tsfile/live/0111_1.m3u8
贵州卫视,http://218.13.170.98:9901/tsfile/live/1014_1.m3u8
辽宁卫视,http://218.13.170.98:9901/tsfile/live/0121_1.m3u8
重庆卫视,http://218.13.170.98:9901/tsfile/live/1012_1.m3u8
陕西卫视,http://218.13.170.98:9901/tsfile/live/0136_1.m3u8
青海卫视,http://218.13.170.98:9901/tsfile/live/0140_1.m3u8
黑龙江卫视,http://218.13.170.98:9901/tsfile/live/1006_1.m3u8
内蒙古卫视,http://218.17.196.234:9901/tsfile/live/0109_1.m3u8
北京卫视,http://218.17.196.234:9901/tsfile/live/0122_1.m3u8
四川卫视,http://218.17.196.234:9901/tsfile/live/0123_1.m3u8
